Feature,Before,After
796 , 14.181 , 13.82838
797 , 14.181 , 13.82838
798 , 14.182 , 13.82838
799 , 14.184 , 13.830206211
800 , 14.184 , 13.83021
801 , 14.185 , 13.8302621605
802 , 14.185 , 13.8309184291
803 , 14.186 , 13.8313311217
804 , 14.187 , 13.8331681483
805 , 14.188 , 13.8334458904
806 , 14.19 , 13.8344153344
807 , 14.191 , 13.835175674
808 , 14.191 , 13.8352765526
809 , 14.192 , 13.835311241
810 , 14.192 , 13.8361853
811 , 14.192 , 13.8366600556
812 , 14.194 , 13.8374606061
813 , 14.194 , 13.8396881192
814 , 14.194 , 13.8401253045
815 , 14.195 , 13.8418121053
816 , 14.196 , 13.8423549662
817 , 14.199 , 13.8434052263
818 , 14.2 , 13.8434052263
819 , 14.2 , 13.8434052263
820 , 14.2 , 13.84341
821 , 14.201 , 13.8449996994
822 , 14.201 , 13.845117977
823 , 14.202 , 13.84576
824 , 14.203 , 13.8463617421
825 , 14.204 , 13.8472101941
826 , 14.204 , 13.8473113551
827 , 14.208 , 13.8479113551
828 , 14.209 , 13.8495436207
829 , 14.209 , 13.8496096779
830 , 14.209 , 13.8509452972
831 , 14.211 , 13.8512062584
832 , 14.211 , 13.8512540282
833 , 14.212 , 13.851851905
834 , 14.212 , 13.8527843205
835 , 14.214 , 13.8528436124
836 , 14.215 , 13.8533129298
